-- Startup on: Thursday, May 15, 2025 11:44:16 AM --
sequence_number	time	processID	unique_processID	stack_level	operation_type	operation	operation_parameters	form_event	stack_opening_sequence_number	stack_level_execution_time
1	2025-05-15T11:44:20.881	5	5137	0	8		Gestionnaire d'évènement Apple	0		
2	2025-05-15T11:44:20.943	5	5137	1	2	Sur événement système	1	0		
3	2025-05-15T11:44:20.945	5	5137	1	2	Sur événement système	1	0	2	71
16	2025-05-15T11:44:24.801	6	5138	0	8		Reused spare process	0		
85	2025-05-15T11:44:29.203	5	5137	1	2	Sur événement système	2	0		
86	2025-05-15T11:44:29.203	5	5137	1	2	Sur événement système	2	0	85	15
88	2025-05-15T11:44:36.31	5	5137	1	2	Sur événement système	1	0		
89	2025-05-15T11:44:36.31	5	5137	1	2	Sur événement système	1	0	88	13
90	2025-05-15T11:44:54.895	6	5138	0	8		Reused spare process	0	16	30094291
91	2025-05-15T11:44:59.843	7	3085	0	2	Trigger sur [Cave]		0		
92	2025-05-15T11:44:59.845	7	3085	1	1	246	[Cave]	0		
93	2025-05-15T11:44:59.845	7	3085	1	1	246	[Cave]	0	92	14
94	2025-05-15T11:44:59.845	7	3085	0	2	Trigger sur [Cave]		0	91	499
98	2025-05-15T11:44:59.890	6	5139	0	8		Reused spare process	0		
272	2025-05-15T11:45:24.924	6	5139	0	8		Reused spare process	0	98	25033819
282	2025-05-15T11:45:27.893	6	5140	0	8		Reused spare process	0		
354	2025-05-15T11:45:54.947	6	5140	0	8		Reused spare process	0	282	27053632
355	2025-05-15T11:48:31.200	7	3085	0	2	Trigger sur [Cave]		0		
356	2025-05-15T11:48:31.200	7	3085	1	1	246	[Cave]	0		
357	2025-05-15T11:48:31.200	7	3085	1	1	246	[Cave]	0	356	3
358	2025-05-15T11:48:31.200	7	3085	0	2	Trigger sur [Cave]		0	355	97
362	2025-05-15T11:48:31.223	6	5141	0	8		Reused spare process	0		
607	2025-05-15T11:48:47.828	7	3085	0	2	Trigger sur [Cave]		0		
608	2025-05-15T11:48:47.828	7	3085	1	1	246	[Cave]	0		
609	2025-05-15T11:48:47.828	7	3085	1	1	246	[Cave]	0	608	3
610	2025-05-15T11:48:47.828	7	3085	0	2	Trigger sur [Cave]		0	607	106
786	2025-05-15T11:49:15.109	6	5141	0	8		Reused spare process	0	362	43884876
787	2025-05-15T11:54:36.140	5	5137	0	8		Gestionnaire d'évènement Apple	0	1	615253916
788	2025-05-15T11:58:52.67	5	5142	0	8		Reused spare process	0		
793	2025-05-15T11:59:15.460	5	5142	0	8		Reused spare process	0	788	23392172
794	2025-05-15T14:37:15.438	5	5143	0	8	297576703590E645BF841FC1C628AB1F	Process Web	0		
795	2025-05-15T14:37:15.439	5	5143	1	2	Compiler_Web		0		
796	2025-05-15T14:37:15.439	5	5143	2	1	604	DAX_BinaryFile	0		
797	2025-05-15T14:37:15.439	5	5143	2	1	604	DAX_BinaryFile	0	796	19
798	2025-05-15T14:37:15.439	5	5143	1	2	Compiler_Web		0	795	180
799	2025-05-15T14:37:15.483	5	5143	1	2	Sur authentification Web	"/fhir/metadata";"GET /fhir/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ...";"::1";"::1";"";""	0		
800	2025-05-15T14:37:15.484	5	5143	1	2	Sur authentification Web	"/fhir/metadata";"GET /fhir/metadata HTTP/1.1\r\nAccept: application/fhir+json\r\nConnection: Keep-Alive\r\nContent-Type: ...";"::1";"::1";"";""	0	799	437
